,Unnamed: 0_x,Incident ID,Incident Date,Incident_year,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Unnamed: 0_y,Year_x,permit,Unnamed: 0,Date,Year_y,Month,Day,DayOfWeek,Decade,Quarter,DayOfYear,WeekOfYear,DayName,MonthName,IsWeekend,IsHoliday
0,0,92194,2014-01-01,2014,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,0,0,0,1745,2014,0.0,0,2014-01-01,2014,1,1,2,2010,1,1,1,Wednesday,January,False,False
1,11,104902,2014-01-20,2014,Virginia,Manassas,8509 Rixlew Ln,0,4,0,0,0,1745,2014,0.0,19,2014-01-20,2014,1,20,0,2010,1,20,4,Monday,January,False,False
2,34,109957,2014-02-25,2014,Virginia,Glade Spring,33325 Graceland Ln,3,1,1,0,0,1745,2014,0.0,55,2014-02-25,2014,2,25,1,2010,1,56,9,Tuesday,February,False,False
3,120,154844,2014-07-04,2014,Virginia,Norfolk,1722 Thurgood Street,0,5,0,0,0,1745,2014,0.0,184,2014-07-04,2014,7,4,4,2010,3,185,27,Friday,July,False,False
4,123,154834,2014-07-05,2014,Virginia,Norfolk,861 W. 36th Street,0,7,0,0,0,1745,2014,0.0,185,2014-07-05,2014,7,5,5,2010,3,186,27,Saturday,July,True,False
5,125,158055,2014-07-05,2014,Illinois,Centreville,4700 Piggott Avenue,0,5,0,0,0,1712,2014,1.0,185,2014-07-05,2014,7,5,5,2010,3,186,27,Saturday,July,True,False
6,122,154803,2014-07-05,2014,Texas,Houston,1700 Almeda-Genoa,0,6,0,0,0,1742,2014,0.0,185,2014-07-05,2014,7,5,5,2010,3,186,27,Saturday,July,True,False
7,124,154721,2014-07-05,2014,Indiana,Indianapolis,Broad Ripple Avenue,0,7,0,0,0,1713,2014,0.0,185,2014-07-05,2014,7,5,5,2010,3,186,27,Saturday,July,True,False
8,121,154971,2014-07-05,2014,Oregon,Portland,333 SE 122nd Ave,1,4,0,0,1,1736,2014,0.0,185,2014-07-05,2014,7,5,5,2010,3,186,27,Saturday,July,True,False
9,156,168844,2014-08-03,2014,Virginia,Culpeper,14458 Rixeyville Rd,5,0,0,0,0,1745,2014,0.0,214,2014-08-03,2014,8,3,6,2010,3,215,31,Sunday,August,True,False
10,157,168551,2014-08-03,2014,Texas,Humble,3403 FM 1960,0,7,0,0,0,1742,2014,0.0,214,2014-08-03,2014,8,3,6,2010,3,215,31,Sunday,August,True,False
11,158,169024,2014-08-03,2014,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,0,0,0,1741,2014,0.0,214,2014-08-03,2014,8,3,6,2010,3,215,31,Sunday,August,True,False
12,159,168786,2014-08-03,2014,Missouri,Saint Louis,5200 block of Thekla ,0,5,0,0,0,1724,2014,0.0,214,2014-08-03,2014,8,3,6,2010,3,215,31,Sunday,August,True,False
13,242,224362,2014-11-23,2014,Virginia,Parksley,Parksley Road,0,4,0,0,0,1745,2014,0.0,326,2014-11-23,2014,11,23,6,2010,4,327,47,Sunday,November,True,False
14,243,224131,2014-11-23,2014,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,1705,2014,0.0,326,2014-11-23,2014,11,23,6,2010,4,327,47,Sunday,November,True,False
15,252,226983,2014-12-02,2014,Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,1745,2014,0.0,335,2014-12-02,2014,12,2,1,2010,4,336,49,Tuesday,December,False,False
16,251,227011,2014-12-02,2014,Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,1724,2014,0.0,335,2014-12-02,2014,12,2,1,2010,4,336,49,Tuesday,December,False,False
17,1,92704,2014-01-03,2014,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,0,0,0,1731,2014,1.0,2,2014-01-03,2014,1,3,4,2010,1,3,1,Friday,January,False,False
18,41,115012,2014-03-14,2014,New York,Brooklyn,S. Second and Roebling Sts,0,4,0,0,0,1731,2014,1.0,72,2014-03-14,2014,3,14,4,2010,1,73,11,Friday,March,False,False
19,67,129730,2014-04-27,2014,New York,Troy,Fourth Street,0,5,0,0,0,1731,2014,1.0,116,2014-04-27,2014,4,27,6,2010,2,117,17,Sunday,April,True,False
20,114,153578,2014-06-28,2014,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,0,0,0,1731,2014,1.0,178,2014-06-28,2014,6,28,5,2010,2,179,26,Saturday,June,True,False
21,113,152960,2014-06-28,2014,California,Antioch,5500 Cedar Point Way,0,7,0,0,0,1704,2014,1.0,178,2014-06-28,2014,6,28,5,2010,2,179,26,Saturday,June,True,False
22,128,155755,2014-07-06,2014,New York,Buffalo,100 block of Erb Street,0,4,0,0,0,1731,2014,1.0,186,2014-07-06,2014,7,6,6,2010,3,187,27,Sunday,July,True,False
23,126,156125,2014-07-06,2014,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,0,0,0,1708,2014,0.0,186,2014-07-06,2014,7,6,6,2010,3,187,27,Sunday,July,True,False
24,127,155412,2014-07-06,2014,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,0,0,0,1724,2014,0.0,186,2014-07-06,2014,7,6,6,2010,3,187,27,Sunday,July,True,False
25,170,173369,2014-08-12,2014,New York,Buffalo,Oakmont Ave,1,3,0,0,0,1731,2014,1.0,223,2014-08-12,2014,8,12,1,2010,3,224,33,Tuesday,August,False,False
26,171,173628,2014-08-12,2014,Georgia,Cartersville,Brent Cir,1,3,1,0,0,1709,2014,0.0,223,2014-08-12,2014,8,12,1,2010,3,224,33,Tuesday,August,False,False
27,179,175911,2014-08-17,2014,New York,Queens,153-38 118th Ave,0,4,0,0,0,1731,2014,1.0,228,2014-08-17,2014,8,17,6,2010,3,229,33,Sunday,August,True,False
28,177,177770,2014-08-17,2014,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,0,0,0,1704,2014,1.0,228,2014-08-17,2014,8,17,6,2010,3,229,33,Sunday,August,True,False
29,180,175839,2014-08-17,2014,Nevada,Las Vegas,Owens Avenue and H Street,0,4,0,0,0,1727,2014,0.0,228,2014-08-17,2014,8,17,6,2010,3,229,33,Sunday,August,True,False
30,178,175943,2014-08-17,2014,Massachusetts,Boston,Edinboro Street,0,4,0,0,0,1720,2014,1.0,228,2014-08-17,2014,8,17,6,2010,3,229,33,Sunday,August,True,False
31,201,193570,2014-09-19,2014,New York,Queens,32-14 106th St,0,4,0,0,0,1731,2014,1.0,261,2014-09-19,2014,9,19,4,2010,3,262,38,Friday,September,False,False
32,215,204254,2014-10-08,2014,New York,Guilderland,1846 Western Ave,4,0,0,0,0,1731,2014,1.0,280,2014-10-08,2014,10,8,2,2010,4,281,41,Wednesday,October,False,False
33,214,202981,2014-10-08,2014,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,0,0,0,1709,2014,0.0,280,2014-10-08,2014,10,8,2,2010,4,281,41,Wednesday,October,False,False
34,216,204236,2014-10-11,2014,New York,Utica,222 Bleecker Street,0,4,0,1,1,1731,2014,1.0,283,2014-10-11,2014,10,11,5,2010,4,284,41,Saturday,October,True,False
35,222,209134,2014-10-18,2014,New York,Queens,33-02 Queens Blvd,0,4,0,0,1,1731,2014,1.0,290,2014-10-18,2014,10,18,5,2010,4,291,42,Saturday,October,True,False
36,224,207687,2014-10-18,2014,New York,Brooklyn,Lenox Road,0,4,0,0,0,1731,2014,1.0,290,2014-10-18,2014,10,18,5,2010,4,291,42,Saturday,October,True,False
37,223,207145,2014-10-18,2014,South Carolina,Graniteville,192 Breezy Hill Road,1,3,0,0,0,1739,2014,0.0,290,2014-10-18,2014,10,18,5,2010,4,291,42,Saturday,October,True,False
38,250,226388,2014-11-30,2014,New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,1731,2014,1.0,333,2014-11-30,2014,11,30,6,2010,4,334,48,Sunday,November,True,False
39,249,226534,2014-11-30,2014,Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,1741,2014,0.0,333,2014-11-30,2014,11,30,6,2010,4,334,48,Sunday,November,True,False
