Incident ID,Incident Date,Incident_year,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Year,permit,City,County,Date,Month,Day,DayOfWeek,Decade,Quarter,DayOfYear,WeekOfYear,DayName,MonthName,IsWeekend,IsHoliday
92194,2014-01-01,2014,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,0,0,0,2014,0.0,Norfolk,,2014-01-01,1,1,2,2010,1,1,1,Wednesday,January,False,False
104902,2014-01-20,2014,Virginia,Manassas,8509 Rixlew Ln,0,4,0,0,0,2014,0.0,Manassas,,2014-01-20,1,20,0,2010,1,20,4,Monday,January,False,False
109957,2014-02-25,2014,Virginia,Glade Spring,33325 Graceland Ln,3,1,1,0,0,2014,0.0,Glade Spring,,2014-02-25,2,25,1,2010,1,56,9,Tuesday,February,False,False
154844,2014-07-04,2014,Virginia,Norfolk,1722 Thurgood Street,0,5,0,0,0,2014,0.0,Norfolk,,2014-07-04,7,4,4,2010,3,185,27,Friday,July,False,False
154834,2014-07-05,2014,Virginia,Norfolk,861 W. 36th Street,0,7,0,0,0,2014,0.0,Norfolk,,2014-07-05,7,5,5,2010,3,186,27,Saturday,July,True,False
158055,2014-07-05,2014,Illinois,Centreville,4700 Piggott Avenue,0,5,0,0,0,2014,1.0,Centreville,,2014-07-05,7,5,5,2010,3,186,27,Saturday,July,True,False
154803,2014-07-05,2014,Texas,Houston,1700 Almeda-Genoa,0,6,0,0,0,2014,0.0,Houston,,2014-07-05,7,5,5,2010,3,186,27,Saturday,July,True,False
154721,2014-07-05,2014,Indiana,Indianapolis,Broad Ripple Avenue,0,7,0,0,0,2014,0.0,Indianapolis,,2014-07-05,7,5,5,2010,3,186,27,Saturday,July,True,False
154971,2014-07-05,2014,Oregon,Portland,333 SE 122nd Ave,1,4,0,0,1,2014,0.0,Portland,,2014-07-05,7,5,5,2010,3,186,27,Saturday,July,True,False
168844,2014-08-03,2014,Virginia,Culpeper,14458 Rixeyville Rd,5,0,0,0,0,2014,0.0,Culpeper,,2014-08-03,8,3,6,2010,3,215,31,Sunday,August,True,False
168551,2014-08-03,2014,Texas,Humble,3403 FM 1960,0,7,0,0,0,2014,0.0,Humble,,2014-08-03,8,3,6,2010,3,215,31,Sunday,August,True,False
169024,2014-08-03,2014,Tennessee,Columbia,East 9th Street and Bridge Street,0,5,0,0,0,2014,0.0,Columbia,,2014-08-03,8,3,6,2010,3,215,31,Sunday,August,True,False
168786,2014-08-03,2014,Missouri,Saint Louis,5200 block of Thekla ,0,5,0,0,0,2014,0.0,,Saint Louis,2014-08-03,8,3,6,2010,3,215,31,Sunday,August,True,False
224362,2014-11-23,2014,Virginia,Parksley,Parksley Road,0,4,0,0,0,2014,0.0,Parksley,,2014-11-23,11,23,6,2010,4,327,47,Sunday,November,True,False
224131,2014-11-23,2014,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,2014,0.0,Denver,,2014-11-23,11,23,6,2010,4,327,47,Sunday,November,True,False
226983,2014-12-02,2014,Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,2014,0.0,Newport News,,2014-12-02,12,2,1,2010,4,336,49,Tuesday,December,False,False
227011,2014-12-02,2014,Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,2014,0.0,,Saint Louis,2014-12-02,12,2,1,2010,4,336,49,Tuesday,December,False,False
92704,2014-01-03,2014,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,0,0,0,2014,1.0,Queens,,2014-01-03,1,3,4,2010,1,3,1,Friday,January,False,False
115012,2014-03-14,2014,New York,Brooklyn,S. Second and Roebling Sts,0,4,0,0,0,2014,1.0,Brooklyn,,2014-03-14,3,14,4,2010,1,73,11,Friday,March,False,False
129730,2014-04-27,2014,New York,Troy,Fourth Street,0,5,0,0,0,2014,1.0,Troy,,2014-04-27,4,27,6,2010,2,117,17,Sunday,April,True,False
153578,2014-06-28,2014,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,0,0,0,2014,1.0,Manhattan,,2014-06-28,6,28,5,2010,2,179,26,Saturday,June,True,False
152960,2014-06-28,2014,California,Antioch,5500 Cedar Point Way,0,7,0,0,0,2014,1.0,Antioch,,2014-06-28,6,28,5,2010,2,179,26,Saturday,June,True,False
155755,2014-07-06,2014,New York,Buffalo,100 block of Erb Street,0,4,0,0,0,2014,1.0,Buffalo,,2014-07-06,7,6,6,2010,3,187,27,Sunday,July,True,False
156125,2014-07-06,2014,Florida,Miami,NW 20th Ave and NW 62nd St,2,2,0,0,0,2014,0.0,Miami,,2014-07-06,7,6,6,2010,3,187,27,Sunday,July,True,False
155412,2014-07-06,2014,Missouri,Saint Louis,4600 block of Natural Bridge Avenue,0,4,0,0,0,2014,0.0,,Saint Louis,2014-07-06,7,6,6,2010,3,187,27,Sunday,July,True,False
173369,2014-08-12,2014,New York,Buffalo,Oakmont Ave,1,3,0,0,0,2014,1.0,Buffalo,,2014-08-12,8,12,1,2010,3,224,33,Tuesday,August,False,False
173628,2014-08-12,2014,Georgia,Cartersville,Brent Cir,1,3,1,0,0,2014,0.0,Cartersville,,2014-08-12,8,12,1,2010,3,224,33,Tuesday,August,False,False
175911,2014-08-17,2014,New York,Queens,153-38 118th Ave,0,4,0,0,0,2014,1.0,Queens,,2014-08-17,8,17,6,2010,3,229,33,Sunday,August,True,False
177770,2014-08-17,2014,California,East Palo Alto,Purdue Street and Georgetown Avenue,1,3,0,0,0,2014,1.0,East Palo Alto,,2014-08-17,8,17,6,2010,3,229,33,Sunday,August,True,False
175839,2014-08-17,2014,Nevada,Las Vegas,Owens Avenue and H Street,0,4,0,0,0,2014,0.0,Las Vegas,,2014-08-17,8,17,6,2010,3,229,33,Sunday,August,True,False
175943,2014-08-17,2014,Massachusetts,Boston,Edinboro Street,0,4,0,0,0,2014,1.0,Boston,,2014-08-17,8,17,6,2010,3,229,33,Sunday,August,True,False
193570,2014-09-19,2014,New York,Queens,32-14 106th St,0,4,0,0,0,2014,1.0,Queens,,2014-09-19,9,19,4,2010,3,262,38,Friday,September,False,False
204254,2014-10-08,2014,New York,Guilderland,1846 Western Ave,4,0,0,0,0,2014,1.0,,Guilderland,2014-10-08,10,8,2,2010,4,281,41,Wednesday,October,False,False
202981,2014-10-08,2014,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue,0,4,0,0,0,2014,0.0,Atlanta,,2014-10-08,10,8,2,2010,4,281,41,Wednesday,October,False,False
204236,2014-10-11,2014,New York,Utica,222 Bleecker Street,0,4,0,1,1,2014,1.0,Utica,,2014-10-11,10,11,5,2010,4,284,41,Saturday,October,True,False
209134,2014-10-18,2014,New York,Queens,33-02 Queens Blvd,0,4,0,0,1,2014,1.0,Queens,,2014-10-18,10,18,5,2010,4,291,42,Saturday,October,True,False
207687,2014-10-18,2014,New York,Brooklyn,Lenox Road,0,4,0,0,0,2014,1.0,Brooklyn,,2014-10-18,10,18,5,2010,4,291,42,Saturday,October,True,False
207145,2014-10-18,2014,South Carolina,Graniteville,192 Breezy Hill Road,1,3,0,0,0,2014,0.0,Graniteville,,2014-10-18,10,18,5,2010,4,291,42,Saturday,October,True,False
226388,2014-11-30,2014,New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,2014,1.0,Brooklyn,,2014-11-30,11,30,6,2010,4,334,48,Sunday,November,True,False
226534,2014-11-30,2014,Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,2014,0.0,Chattanooga,,2014-11-30,11,30,6,2010,4,334,48,Sunday,November,True,False
282186,2014-12-22,2014,New York,Webster,191 Lake Rd,3,2,1,0,0,2014,1.0,Webster,,2014-12-22,12,22,0,2010,4,356,52,Monday,December,False,False
267721,2014-12-22,2014,Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0,2014,1.0,Chicago,,2014-12-22,12,22,0,2010,4,356,52,Monday,December,False,False
268282,2014-12-22,2014,Michigan,Detroit,Charlevoix and Philip,1,3,0,0,0,2014,1.0,Detroit,,2014-12-22,12,22,0,2010,4,356,52,Monday,December,False,False
94514,2014-01-05,2014,Pennsylvania,Erie,829 Parade St,1,3,0,0,0,2014,0.0,Erie,,2014-01-05,1,5,6,2010,1,5,1,Sunday,January,True,False
111095,2014-03-01,2014,Pennsylvania,Pittsburgh,Hamilton Ave,1,4,0,0,1,2014,0.0,Pittsburgh,,2014-03-01,3,1,5,2010,1,60,9,Saturday,March,True,False
156834,2014-07-02,2014,Pennsylvania,Chester,1400 block of West Congress Street,0,5,0,0,0,2014,0.0,Chester,,2014-07-02,7,2,2,2010,3,183,27,Wednesday,July,False,False
162687,2014-07-23,2014,Pennsylvania,Braddock,700 block of Hickory St,0,4,0,0,0,2014,0.0,Braddock,,2014-07-23,7,23,2,2010,3,204,30,Wednesday,July,False,False
165856,2014-07-28,2014,Pennsylvania,Philadelphia,4900 block of North Front Street,1,4,0,0,0,2014,0.0,Philadelphia,,2014-07-28,7,28,0,2010,3,209,31,Monday,July,False,False
167649,2014-08-01,2014,Pennsylvania,Philadelphia,1500 block of South Etting Street,1,3,0,0,0,2014,0.0,Philadelphia,,2014-08-01,8,1,4,2010,3,213,31,Friday,August,False,False
168307,2014-08-02,2014,Pennsylvania,Pittsburgh,Penn Avenue and 29th Street,1,5,0,0,0,2014,0.0,Pittsburgh,,2014-08-02,8,2,5,2010,3,214,31,Saturday,August,True,False
167872,2014-08-02,2014,Texas,Dallas,5125 Wynell Street,3,1,0,0,1,2014,0.0,Dallas,,2014-08-02,8,2,5,2010,3,214,31,Saturday,August,True,False
168169,2014-08-02,2014,Massachusetts,New Bedford,Acushnet Avenue,0,7,0,0,0,2014,1.0,New Bedford,,2014-08-02,8,2,5,2010,3,214,31,Saturday,August,True,False
197416,2014-09-28,2014,Pennsylvania,Philadelphia,2800 block of Hope Street,0,4,0,0,0,2014,0.0,Philadelphia,,2014-09-28,9,28,6,2010,3,271,39,Sunday,September,True,False
197384,2014-09-28,2014,Florida,Miami,NW 7th Ave and NW 64th St,0,15,0,0,0,2014,0.0,Miami,,2014-09-28,9,28,6,2010,3,271,39,Sunday,September,True,False
223582,2014-11-21,2014,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,0,0,0,2014,0.0,Pittsburgh,,2014-11-21,11,21,4,2010,4,325,47,Friday,November,False,False
263556,2014-12-15,2014,Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0,2014,0.0,Lansdale,,2014-12-15,12,15,0,2010,4,349,51,Monday,December,False,False
95146,2014-01-11,2014,Mississippi,Jackson,3430 W. Capitol Street,0,4,0,0,0,2014,0.0,Jackson,,2014-01-11,1,11,5,2010,1,11,2,Saturday,January,True,False
120621,2014-03-30,2014,Mississippi,Starkville,2938 Rockhill Rd,0,5,0,0,1,2014,0.0,Starkville,,2014-03-30,3,30,6,2010,1,89,13,Sunday,March,True,False
120303,2014-03-30,2014,North Carolina,Charlotte,4300 Sunset Road,0,5,0,0,0,2014,1.0,Charlotte,,2014-03-30,3,30,6,2010,1,89,13,Sunday,March,True,False
185196,2014-09-02,2014,Mississippi,Jackson,3622 Medgar Evers Boulevard,2,3,0,0,0,2014,0.0,Jackson,,2014-09-02,9,2,1,2010,3,245,36,Tuesday,September,False,False
184507,2014-09-02,2014,California,Highland,25000 block of Fifth Street ,0,5,0,0,0,2014,1.0,Highland,,2014-09-02,9,2,1,2010,3,245,36,Tuesday,September,False,False
193960,2014-09-20,2014,Mississippi,Batesville,8297 Curtis Rd,2,2,0,0,0,2014,0.0,Batesville,,2014-09-20,9,20,5,2010,3,263,38,Saturday,September,True,False
268910,2014-12-21,2014,Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,2014,0.0,Waynesboro,,2014-12-21,12,21,6,2010,4,355,51,Sunday,December,True,False
266424,2014-12-21,2014,Illinois,Calumet City,600 block of Escanba,1,8,0,0,0,2014,1.0,Calumet City,,2014-12-21,12,21,6,2010,4,355,51,Sunday,December,True,False
266570,2014-12-21,2014,Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,2014,0.0,Sarasota,,2014-12-21,12,21,6,2010,4,355,51,Sunday,December,True,False
95579,2014-01-12,2014,Illinois,Elgin,300 block of North St,0,5,0,0,0,2014,1.0,Elgin,,2014-01-12,1,12,6,2010,1,12,2,Sunday,January,True,False
95500,2014-01-12,2014,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,0,0,8,2014,0.0,Tallulah,,2014-01-12,1,12,6,2010,1,12,2,Sunday,January,True,False
95550,2014-01-12,2014,Alabama,Huntsville,University Drive,0,5,0,0,0,2014,0.0,Huntsville,,2014-01-12,1,12,6,2010,1,12,2,Sunday,January,True,False
100434,2014-01-25,2014,Illinois,Chicago,S Union Ave and W 51st St,1,4,0,0,0,2014,1.0,Chicago,,2014-01-25,1,25,5,2010,1,25,4,Saturday,January,True,False
100568,2014-01-25,2014,Florida,Belle Glade,600 block of Covenant Drive,0,4,0,0,0,2014,0.0,Belle Glade,,2014-01-25,1,25,5,2010,1,25,4,Saturday,January,True,False
104218,2014-02-05,2014,Illinois,Chicago,6740 N Clark St,1,3,0,0,0,2014,1.0,Chicago,,2014-02-05,2,5,2,2010,1,36,6,Wednesday,February,False,False
113214,2014-03-08,2014,Illinois,Chicago,4900 West Race Ave,0,6,0,0,0,2014,1.0,Chicago,,2014-03-08,3,8,5,2010,1,67,10,Saturday,March,True,False
113255,2014-03-08,2014,California,Richmond,1600 block of First Street,1,3,0,0,0,2014,1.0,Richmond,,2014-03-08,3,8,5,2010,1,67,10,Saturday,March,True,False
122136,2014-04-05,2014,Illinois,Chicago,4300 W Wilcox Street,1,5,0,0,0,2014,1.0,Chicago,,2014-04-05,4,5,5,2010,2,95,14,Saturday,April,True,False
122672,2014-04-05,2014,California,Fairfield,Orchid Street ,0,4,0,0,0,2014,1.0,Fairfield,,2014-04-05,4,5,5,2010,2,95,14,Saturday,April,True,False
122612,2014-04-05,2014,Arizona,Phoenix,5400 block of W Palm Ln,1,3,0,0,0,2014,0.0,Phoenix,,2014-04-05,4,5,5,2010,2,95,14,Saturday,April,True,False
124131,2014-04-09,2014,Illinois,Rockford,300 N Sunset Ave,0,5,0,0,0,2014,1.0,Rockford,,2014-04-09,4,9,2,2010,2,99,15,Wednesday,April,False,False
123891,2014-04-09,2014,Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,0,0,0,2014,0.0,,Lookout Valley,2014-04-09,4,9,2,2010,2,99,15,Wednesday,April,False,False
127045,2014-04-20,2014,Illinois,Montgomery,1300 block of Jackson St,0,6,0,0,0,2014,1.0,Montgomery,,2014-04-20,4,20,6,2010,2,110,16,Sunday,April,True,False
127413,2014-04-20,2014,Illinois,Chicago,6600 South Michigan Ave,0,5,0,0,0,2014,1.0,Chicago,,2014-04-20,4,20,6,2010,2,110,16,Sunday,April,True,False
127381,2014-04-20,2014,Florida,Tampa,2902 N. 32nd St.,2,2,0,0,0,2014,0.0,Tampa,,2014-04-20,4,20,6,2010,2,110,16,Sunday,April,True,False
130933,2014-04-30,2014,Illinois,Chicago,7200 South Phillips Avenue,0,4,0,0,0,2014,1.0,Chicago,,2014-04-30,4,30,2,2010,2,120,18,Wednesday,April,False,False
131697,2014-05-04,2014,Illinois,Chicago,500 West Erie Street,1,3,0,0,0,2014,1.0,Chicago,,2014-05-04,5,4,6,2010,2,124,18,Sunday,May,True,False
132897,2014-05-04,2014,Colorado,Wheat Ridge,12100 W 44th,0,4,0,0,0,2014,0.0,Wheat Ridge,,2014-05-04,5,4,6,2010,2,124,18,Sunday,May,True,False
134591,2014-05-12,2014,Illinois,Chicago,3400 West 24th Street,0,4,0,0,0,2014,1.0,Chicago,,2014-05-12,5,12,0,2010,2,132,20,Monday,May,False,False
141382,2014-06-01,2014,Illinois,Chicago,West Ferdinand Street and North Lavergne Avenue ,1,5,0,0,0,2014,1.0,Chicago,,2014-06-01,6,1,6,2010,2,152,22,Sunday,June,True,False
141792,2014-06-01,2014,California,Sacramento,6500 46th Street,0,4,0,0,0,2014,1.0,Sacramento,,2014-06-01,6,1,6,2010,2,152,22,Sunday,June,True,False
142076,2014-06-02,2014,Illinois,Chicago,2660 E. 79th St,0,7,0,0,0,2014,1.0,Chicago,,2014-06-02,6,2,0,2010,2,153,23,Monday,June,False,False
142822,2014-06-04,2014,Illinois,Chicago,4900 West West End Avenue,1,3,0,0,0,2014,1.0,Chicago,,2014-06-04,6,4,2,2010,2,155,23,Wednesday,June,False,False
