,Unnamed: 0_x,Incident ID,Incident Date,Incident_year,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Unnamed: 0_y,Date,Year,Month,Day,DayOfWeek,Decade,Quarter,DayOfYear,WeekOfYear,DayName,MonthName,IsWeekend,IsHoliday
0,0,92194,2014-01-01,2014,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,2,2,0,0,0,0,2014-01-01,2014,1,1,2,2010,1,1,1,Wednesday,January,False,False
1,1,92704,2014-01-03,2014,New York,Queens,Farmers Boulevard and 133rd Avenue,1,3,0,0,0,2,2014-01-03,2014,1,3,4,2010,1,3,1,Friday,January,False,False
2,2,94514,2014-01-05,2014,Pennsylvania,Erie,829 Parade St,1,3,0,0,0,4,2014-01-05,2014,1,5,6,2010,1,5,1,Sunday,January,True,False
3,3,95146,2014-01-11,2014,Mississippi,Jackson,3430 W. Capitol Street,0,4,0,0,0,10,2014-01-11,2014,1,11,5,2010,1,11,2,Saturday,January,True,False
4,4,95579,2014-01-12,2014,Illinois,Elgin,300 block of North St,0,5,0,0,0,11,2014-01-12,2014,1,12,6,2010,1,12,2,Sunday,January,True,False
5,5,95500,2014-01-12,2014,Louisiana,Tallulah,3600 block of Highway 80 W,0,6,0,0,8,11,2014-01-12,2014,1,12,6,2010,1,12,2,Sunday,January,True,False
6,6,95550,2014-01-12,2014,Alabama,Huntsville,University Drive,0,5,0,0,0,11,2014-01-12,2014,1,12,6,2010,1,12,2,Sunday,January,True,False
7,7,96185,2014-01-13,2014,Michigan,Detroit,800 block of Calvert St,0,4,0,0,0,12,2014-01-13,2014,1,13,0,2010,1,13,3,Monday,January,False,False
8,8,96792,2014-01-14,2014,California,Los Angeles,West 86th Street,0,4,0,0,0,13,2014-01-14,2014,1,14,1,2010,1,14,3,Tuesday,January,False,False
9,9,97407,2014-01-16,2014,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,1,4,1,0,0,15,2014-01-16,2014,1,16,3,2010,1,16,3,Thursday,January,False,False
10,10,97365,2014-01-16,2014,Utah,Spanish Fork,37 N 630 West,4,0,1,0,0,15,2014-01-16,2014,1,16,3,2010,1,16,3,Thursday,January,False,False
11,11,104902,2014-01-20,2014,Virginia,Manassas,8509 Rixlew Ln,0,4,0,0,0,19,2014-01-20,2014,1,20,0,2010,1,20,4,Monday,January,False,False
12,12,98836,2014-01-21,2014,New Jersey,Newark,Springfield Avenue ,2,3,0,0,0,20,2014-01-21,2014,1,21,1,2010,1,21,4,Tuesday,January,False,False
13,13,100434,2014-01-25,2014,Illinois,Chicago,S Union Ave and W 51st St,1,4,0,0,0,24,2014-01-25,2014,1,25,5,2010,1,25,4,Saturday,January,True,False
14,14,100568,2014-01-25,2014,Florida,Belle Glade,600 block of Covenant Drive,0,4,0,0,0,24,2014-01-25,2014,1,25,5,2010,1,25,4,Saturday,January,True,False
15,15,101301,2014-01-27,2014,North Carolina,Rocky Mount,821 Word Plaza,0,4,0,0,1,26,2014-01-27,2014,1,27,0,2010,1,27,5,Monday,January,False,False
16,16,113665,2014-01-27,2014,Washington,Seattle,2nd Avenue South and South Main Street,1,4,0,0,1,26,2014-01-27,2014,1,27,0,2010,1,27,5,Monday,January,False,False
17,17,140117,2014-01-30,2014,Texas,Cypress,14015 Fosters Creek Dr,4,0,0,0,1,29,2014-01-30,2014,1,30,3,2010,1,30,5,Thursday,January,False,False
18,18,103698,2014-02-03,2014,Indiana,Franklin,2100 block of Bridlewood Dr,2,2,1,0,0,33,2014-02-03,2014,2,3,0,2010,1,34,6,Monday,February,False,False
