Incident ID,State,City Or County,Address,City,County
92194,Virginia,Norfolk,Rockingham Street and Berkley Avenue Extended,Norfolk,
92704,New York,Queens,Farmers Boulevard and 133rd Avenue,Queens,
94514,Pennsylvania,Erie,829 Parade St,Erie,
95146,Mississippi,Jackson,3430 W. Capitol Street,Jackson,
95579,Illinois,Elgin,300 block of North St,Elgin,
95500,Louisiana,Tallulah,3600 block of Highway 80 W,Tallulah,
95550,Alabama,Huntsville,University Drive,Huntsville,
96185,Michigan,Detroit,800 block of Calvert St,Detroit,
96792,California,Los Angeles,West 86th Street,Los Angeles,
97407,Oklahoma,Ardmore,H St NE and Martin Luther King Blvd,Ardmore,
97365,Utah,Spanish Fork,37 N 630 West,Spanish Fork,
104902,Virginia,Manassas,8509 Rixlew Ln,Manassas,
98836,New Jersey,Newark,Springfield Avenue ,Newark,
100434,Illinois,Chicago,S Union Ave and W 51st St,Chicago,
100568,Florida,Belle Glade,600 block of Covenant Drive,Belle Glade,
101301,North Carolina,Rocky Mount,821 Word Plaza,Rocky Mount,
113665,Washington,Seattle,2nd Avenue South and South Main Street,Seattle,
140117,Texas,Cypress,14015 Fosters Creek Dr,Cypress,
103698,Indiana,Franklin,2100 block of Bridlewood Dr,Franklin,
104218,Illinois,Chicago,6740 N Clark St,Chicago,
105010,Louisiana,New Orleans,4600 block of Downman Road,New Orleans,
104721,Florida,Miami,Northwest 41st Street and 9th Avenue ,Miami,
106243,California,Stockton,1101 E Lindsay St,Stockton,
106394,Indiana,Gary,2220 block of Broadway,Gary,
106481,California,Oakland,37th and International ,Oakland,
107403,Nevada,Las Vegas,Sahara and Maryland ,Las Vegas,
107417,Florida,Orlando (Pine Hills),4500 block of Charlene Terrace,,Orlando (Pine Hills)
108659,Texas,Fort Worth, 115 NW 25th St.,Fort Worth,
107673,Indiana,Fort Wayne,Lafayette Street and East Tillman Road,Fort Wayne,
107519,Texas,Dallas,2600 block of South Harwood Street,Dallas,
107433,Florida,Jacksonville,1187 S. Edgewood Ave.,Jacksonville,
108649,California,Alturas,300 W 1st St,Alturas,
108691,Indiana,Indianapolis,3200 block of S Parker Ave,Indianapolis,
109142,California,Wilmington,1200 block of W Papeete St,Wilmington,
109957,Virginia,Glade Spring,33325 Graceland Ln,Glade Spring,
111095,Pennsylvania,Pittsburgh,Hamilton Ave,Pittsburgh,
112415,South Carolina,Pelzer,Law St,Pelzer,
113214,Illinois,Chicago,4900 West Race Ave,Chicago,
113255,California,Richmond,1600 block of First Street,Richmond,
